User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
1,Ronald Murphy,williamholland@example.com,williamholland,03-06-1953,Male,Rebeccachester,15-01-2024,14-01-2025,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
2,Scott Allen,scott22@example.org,scott22,08-07-1978,Male,Mcphersonview,07-01-2024,06-01-2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
3,Jonathan Parrish,brooke16@example.org,brooke16,06-12-1994,Female,Youngfort,13-04-2024,13-04-2025,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
4,Megan Williams,elizabeth31@example.net,elizabeth31,22-12-1964,Female,Feliciashire,24-01-2024,23-01-2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,04-06-1961,Male,Port Deborah,14-02-2024,13-02-2025,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
6,Sandra Cox,gparks@example.org,gparks,19-09-1954,Female,Lake Johnathan,15-01-2024,14-01-2025,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
7,Benjamin Marshall,michaellewis@example.net,michaellewis,09-02-2003,Male,Carlsonchester,08-04-2024,08-04-2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
8,James Smith,adrienne49@example.org,adrienne49,04-10-1946,Male,West Matthewborough,16-02-2024,15-02-2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
9,Bradley Green,brittany02@example.net,brittany02,24-12-1950,Female,Karenshire,09-04-2024,09-04-2025,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4,8
10,Kayla Hernandez,jessica53@example.net,jessica53,16-06-1963,Male,West Stephen,10-03-2024,10-03-2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
11,Douglas Hampton,tonya16@example.com,tonya16,28-11-1997,Female,Cynthiaport,24-03-2024,24-03-2025,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4,1
12,Andrew Gomez,brian80@example.org,brian80,08-09-1952,Female,Hillberg,07-03-2024,07-03-2025,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
13,Kevin Mayo,hochoa@example.net,hochoa,18-11-1981,Female,Michaeltown,10-01-2024,09-01-2025,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
14,Gregory Thomas,egriffin@example.com,egriffin,17-08-1989,Female,Harrisport,07-01-2024,06-01-2025,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,07-04-2003,Male,East Janetfurt,23-02-2024,22-02-2025,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
16,Brittany Crane,jasonbowers@example.org,jasonbowers,19-03-1993,Female,Port Jeremyfurt,03-01-2024,02-01-2025,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5,0
17,Robert Gonzalez,cday@example.com,cday,02-05-1952,Female,Quinnberg,25-03-2024,25-03-2025,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
18,Mindy Baxter,phumphrey@example.net,phumphrey,16-11-1978,Female,New Brandon,23-01-2024,22-01-2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
19,Michael Smith,paige55@example.org,paige55,30-08-1945,Female,South Michaelhaven,27-01-2024,26-01-2025,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
20,Joseph Owens,christopher25@example.org,christopher25,29-09-1979,Female,Port Derekton,15-03-2024,15-03-2025,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,05-07-1956,Male,New Matthewbury,15-03-2024,15-03-2025,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
22,Heidi Brock,karen47@example.org,karen47,17-02-1967,Male,Lake Gloriaport,15-01-2024,14-01-2025,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2
23,Tracy Hardin,ronald82@example.net,ronald82,13-02-1996,Female,North Audrey,14-04-2024,14-04-2025,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7
24,Maria White,castillokatie@example.com,castillokatie,19-06-1968,Male,West Raymond,26-03-2024,26-03-2025,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0
25,Eric Johnson,lgreer@example.org,lgreer,02-10-1994,Female,North Jacob,18-01-2024,17-01-2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
26,Kenneth Jones,glen97@example.net,glen97,22-09-1986,Female,Shafferland,12-02-2024,11-02-2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7
27,Joel Cole,nyates@example.com,nyates,29-03-2005,Male,West Richardbury,19-02-2024,18-02-2025,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0
28,Brittany Noble,carol56@example.com,carol56,05-11-1976,Male,New John,26-01-2024,25-01-2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3,9
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,05-07-1967,Female,North Marymouth,07-01-2024,06-01-2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7
